Date,Open,High,Low,Close,Adj Close,Volume
2020-11-24,29.850000,30.139999,29.205000,29.580000,29.580000,9358700
2020-11-25,29.549999,40.990002,29.450001,40.700001,40.700001,141249000
2020-11-27,38.490002,40.900002,37.500000,40.669998,40.669998,47930400
2020-11-30,43.500000,43.669998,41.750000,42.880001,42.880001,70699800
2020-12-01,42.810001,44.150002,42.790001,43.840000,43.840000,31946300
2020-12-02,43.299999,43.340000,42.230000,42.709999,42.709999,128034600
2020-12-03,43.000000,43.220001,42.480000,42.509998,42.509998,80517300
2020-12-04,42.709999,43.139999,42.660000,42.799999,42.799999,62908600
2020-12-07,42.959999,43.270000,42.680000,42.680000,42.680000,44472100
2020-12-08,42.939999,43.105000,42.799999,43.029999,43.029999,35251600
2020-12-09,43.049999,43.110001,42.049999,42.090000,42.090000,35506700
2020-12-10,42.189999,42.630001,42.130001,42.320000,42.320000,29339200
2020-12-11,42.349998,42.410000,42.099998,42.240002,42.240002,23635200
2020-12-14,42.330002,42.439999,42.165001,42.259998,42.259998,12767200
2020-12-15,42.299999,42.310001,41.959999,42.080002,42.080002,19388900
2020-12-16,42.099998,42.680000,42.080002,42.610001,42.610001,15261900
2020-12-17,42.650002,42.910000,42.430000,42.540001,42.540001,16639700
2020-12-18,42.660000,42.910000,42.520000,42.790001,42.790001,13763100
2020-12-21,42.520000,42.799999,42.439999,42.570000,42.570000,10338400
2020-12-22,42.570000,43.009998,42.570000,42.880001,42.880001,11810000
2020-12-23,42.950001,43.040001,42.549999,42.560001,42.560001,9547700
2020-12-24,42.830002,43.070000,42.595001,42.650002,42.650002,6679700
2020-12-28,42.880001,42.880001,42.270000,42.310001,42.310001,14472000
2020-12-29,42.480000,42.509998,42.084000,42.240002,42.240002,7651800
2020-12-30,42.340000,42.480000,42.230000,42.330002,42.330002,4216400
2020-12-31,42.259998,42.345001,42.060001,42.240002,42.240002,5930100
2021-01-04,42.209999,42.410000,41.674999,41.990002,41.990002,14711400
2021-01-05,42.060001,42.205002,41.799999,42.009998,42.009998,12402400
2021-01-06,41.849998,42.044998,41.570000,41.790001,41.790001,11635300
2021-01-07,41.950001,42.220001,41.880001,42.119999,42.119999,12790600
2021-01-08,42.250000,42.384998,42.139999,42.349998,42.349998,9463300
2021-01-11,41.980000,42.400002,41.830002,42.070000,42.070000,8445600
2021-01-12,42.070000,42.270000,41.825001,42.139999,42.139999,9904300
2021-01-13,42.189999,42.389999,42.040001,42.290001,42.290001,14465700
2021-01-14,42.270000,42.380001,41.910000,41.919998,41.919998,7271800
2021-01-15,42.070000,42.240002,41.630001,41.799999,41.799999,8717400
2021-01-19,41.980000,42.160000,41.860001,42.070000,42.070000,7311800
2021-01-20,42.340000,42.705002,42.310001,42.630001,42.630001,8106500
2021-01-21,42.660000,42.680000,42.369999,42.419998,42.419998,9040700
2021-01-22,42.540001,42.830002,42.459999,42.650002,42.650002,5420200
2021-01-25,42.970001,43.029999,42.240002,42.619999,42.619999,8454300
2021-01-26,42.730000,42.895000,42.619999,42.779999,42.779999,8984700
2021-01-27,42.490002,42.810001,41.939999,42.049999,42.049999,16218800
2021-01-28,42.080002,42.810001,42.009998,42.240002,42.240002,14382700
2021-01-29,42.029999,42.494999,41.810001,42.169998,42.169998,7960500
